Control1	Control2	Treated1	Treated2
0	0	0	0
11840505.14	10124043.07	0	4635329.158
0	8079174.684	0	2817091.798
0	21336226.31	1898423.615	8577210.936
9032584.97	6744012.773	2949733.405	0
0	0	0	0
0	0	0	0
3223183.661	0	0	2662593.554
6165341.441	9338846.359	0	5643042.615
7057452.448	8435747.329	5538598.254	0
23638914.87	27553936.22	10531643.61	11841683.21
63567196.76	97416792.89	26588362.57	0
16407078.27	21507348.43	0	0
19879950.11	22061653.09	3652615.717	15385290.97
4068989.71	1006591.067	0	1628723.079
0	1896016.703	0	0
0	1600933.393	0	865319.9939
1338478.329	2511974.454	0	0
0	0	0	0
11686934.83	14246530.48	3871416.428	0
23800280.64	23023703.28	0	12668779.59
0	0	0	0
3336529.467	3607565.399	2804458.697	2564266.076
26335360.15	1590207.557	16383587.05	0
2653258.497	3610349.204	1743026.041	2517870.781
123269410.7	154222786.3	63909280.58	88250343.67
191167758	163564907.7	90607371.92	165992057.4
269153414.4	288312113.6	207337145.5	245318466.5
409697536.6	448872149.7	295417664.8	313025049.6
415887121.9	523682810	224109419.7	334695280.3
2459151.855	18023498.59	5091183.062	10636551.09
0	3692962.705	1180395.642	0
0	0	0	0
69086373.56	88205674.05	49957499.42	53864365.36
207343311.5	293797846.6	131392473.5	152527875.4
13463517.31	10801981.41	5646781.547	5495646.861
25208917.99	13428583.13	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2342817.374	0	1448182.374
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9745088.868	8154828.673	11917548.88	6069573.851
0	0	0	0
0	0	0	0
0	0	0	0
18808855.63	0	11824047.6	12841759.58
0	0	0	0
0	0	0	0
5769254.755	9610676.71	4836952.322	5556743.547
0	0	0	0
0	0	0	0
18109603.99	10813444.14	7670195.503	7169314.19
0	0	0	0
0	0	0	0
27100873.09	22584025.87	12375782.4	12019627.31
307834424.7	273369632	115304072.3	183431342.6
0	0	0	0
14435609.6	19257379.13	9855111.661	12564915.23
0	0	0	0
2675631.431	0	1833475.002	2657973.117
29422357.34	4225488.189	12899698.63	0
18146242.59	24507307.49	0	7487016.954
0	0	0	0
18022294.98	14883530.52	10210957.42	8532533.985
0	0	0	0
0	6181929.832	0	2562318.619
680355.4724	0	0	2174049.183
0	0	0	0
0	0	0	0
0	0	0	2772949.442
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6328967.883	7364146.232	3113283.363	3455934.016
0	0	0	0
0	6248741.147	0	0
20064702.21	22493961.6	25392164.44	21209714.37
0	0	0	0
14312441.53	12169320.83	6406382.814	8385901.94
9729497.973	3478364.105	0	0
8509510.446	0	0	6698487.857
0	0	0	0
131166198.9	32310148.61	70442778.77	60466625.94
0	0	0	0
24911911.44	27857698.45	19945135.62	12103635.25
3698628.001	0	0	0
7268319.302	7052769.476	5361254.926	4723919.352
0	0	0	0
0	0	0	0
1970922.981	923895.6892	1093308.091	726515.9615
0	0	0	0
0	0	0	0
4108356.72	7007164.204	5268526.389	4295096.991
2506859.994	2382118.148	0	2520887.429
0	0	1468433.66	1995188.636
16713439.35	27071682.97	0	9469986.253
0	0	0	0
1559713.128	1522741.229	813886.0984	1228043.379
0	0	0	0
0	0	0	0
57182725.29	53917386.5	23211884.71	23354208.03
5625038.977	5896671.716	0	3138651.291
745790.4584	0	4609767.406	4035436.078
3581774.244	6851189.258	0	6089048.419
0	0	0	0
3398425.32	1941703.852	0	1937032.229
0	10490850.29	0	0
0	0	0	0
0	15117697.63	0	6505269.589
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	8757437.601	7569115.625
0	0	0	0
0	0	0	0
0	0	0	13023140.37
0	0	0	0
14050514.5	16069922.63	6096128.584	5816786.314
12386966.01	0	5726759.91	0
2735344.559	2209276.62	2538018.7	2633190.774
453359.8379	0	0	0
0	0	0	0
5689819.146	6567323.044	3892280.349	4761341.072
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9002182.725	8593769.19	4931612.704	5594547.121
0	0	0	0
0	0	1887875.744	1332060.486
0	0	0	0
0	2526794.121	0	1535550.634
0	2881483.604	0	0
3975990.022	8658451.713	0	0
0	0	0	0
0	0	0	0
113899282.8	66119457.98	43474229.19	33713914.77
3220611.163	3885208.99	6297426.783	7348785.703
8209385.719	7527490.072	0	6393768.138
7843779.233	0	2344602.426	19847640.14
0	2614729.602	2370527.78	0
7615138.759	8373521.104	0	0
0	0	0	0
1818132.211	1572604.086	0	0
0	0	0	0
0	0	0	0
0	13617718.1	0	4372613.411
0	0	0	0
3203149.361	4008105.785	1535545.939	1957308.691
0	0	0	0
0	4149342.94	0	0
0	0	0	0
0	0	0	0
203663860.3	50252589.35	2413066996	56376966.55
0	0	0	0
6128780.792	6131739.469	0	3609286.696
2792407.234	0	0	0
2668927.346	5269906.251	0	0
0	0	0	0
2335983.785	2175789.086	0	0
0	0	0	0
0	0	0	0
0	0	3326095.356	4672369.024
982226.3798	10384410.69	0	0
0	0	0	0
2534377.923	1650141.237	1248435.206	1485756.835
874961022.8	747746346.3	387450738	374171376.2
99017773.62	91079543.13	44946294.72	38647472.12
3815325.85	3394768.084	2122015.3	2366198.259
6459697.537	0	4362491.307	4489842.676
1416822.576	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
18157156.22	13826503.46	7591376.246	6022987.628
1423838.478	5046874.36	434201.3755	1523331.297
97942001.87	100888361.2	55915307.94	46475484.95
3981290.926	3064150.325	0	0
7227081.384	6612437.057	2753573.912	2126088.285
4119504.21	16419535.76	1751642.068	1330685.81
26970689.12	30721742.33	4655358.937	10782037.57
0	3180251.361	28602117.3	22403009.01
13782351.11	14399639.74	4809520.13	6559874.752
2994465.232	0	1322154.393	0
0	0	0	0
6782740.879	0	0	0
4128936.701	0	328571.9805	0
0	0	0	0
0	0	0	0
0	0	0	0
19128468.97	0	5047909.744	0
9878391.02	11611741.11	4352445.715	0
17511693.17	18097187.54	11889343.95	11313960.59
13356719.68	13366356.9	3538211.885	6682068.123
0	6288533.18	0	2558423.706
0	0	0	0
2009198.628	1898964.261	0	0
5550904.272	0	0	0
26084346.74	33390101.12	11699636.81	15261570.18
0	9396978.753	2404798.702	4133954.483
0	3722929.545	1194536.744	0
5270502.027	4236950.915	4408469.206	0
0	0	0	0
0	0	10839966	0
18518864.98	14426659.02	0	0
0	3528390.715	0	0
54008419.08	104245302.3	14178579.71	32621429.66
0	0	0	0
0	0	0	0
0	0	0	0
7345260.368	8405452.982	5914921.567	6386512.907
0	0	0	5856117.306
0	0	0	0
3600327.409	0	0	0
0	0	0	0
4820003.118	6646252.098	2324124.874	3405300.137
1195353.913	11396405.62	0	0
35142656.69	27597330.82	7358395.796	8567282.725
35921421.89	49100585.42	39177806.97	41759584.54
8226535.703	13620993.16	0	14478005.19
4263875.896	1803250.501	0	0
117259120.7	200016375.3	73035314.12	60772109.36
11592609.92	15409997.13	9755814.852	7252176.569
7720377.3	6150734.843	0	2447762.334
3015357.031	5543456.012	0	0
1701902.089	0	0	0
0	3586768.74	0	0
549306.2052	2604822.532	0	0
0	0	0	1732052.849
5398659.183	3745363.737	3742755.583	2329692.989
204653882.1	261341957.7	102557762.2	91950511.68
5882990.334	8533180.497	4261649.022	0
3666822.576	0	0	0
0	0	0	0
2912768.943	4695378.065	1783440.229	1961700.015
8824446.523	28138535.23	12354145.74	12919657.86
8234331.151	10550620.22	4717564.33	4667786.773
0	15451754.21	5058341.705	7176187.567
0	14172841.53	2660536.28	3180235.222
14462893.67	13598067.71	8019472.993	9588742.936
7463517.306	8910631.678	7521057.105	5988238.888
25120049.89	0	16314813.38	15844661.68
2355550.359	0	0	0
5484642.969	4399885.373	0	0
4588946.056	6178163.508	4478401.978	0
25339101.96	26220166.21	13961054.01	16881777.91
0	0	17228962.21	16789751.03
0	1615834.937	9217989.336	663166.3357
3522372.934	10637409.42	13727300.83	18262563.01
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3193638.915	0	0	4750649.152
2506158.403	1981168.379	2092071.71	2128417.596
2392266.916	2689810.456	0	0
0	0	0	0
61227003.43	70559626.64	36166061.36	36612188.79
10840349.24	20174397.18	10651417.97	14912937.22
67414250.08	72238915.95	51016150.22	51607606.54
0	4323740.124	43899234.99	49946540.4
21954318.68	22264707.09	14164284.06	17558805.56
0	0	0	0
36233239.79	55862774.8	29324627.15	33525278.75
0	0	0	0
0	0	0	0
38076863.11	58015310.93	7650877.057	7963952.956
0	0	0	0
35891019.64	648561.0185	13897303.15	13663510
0	0	0	0
0	0	0	0
0	0	0	0
120229186.2	67802022.35	93165134.07	66614479.91
7843779.233	7584230.565	4878293.795	7792882.236
96772684.75	104843001.6	54134147.28	63578738.35
0	0	0	0
0	0	0	0
0	0	0	0
0	28523355.3	6590294.413	9072857.797
60689897.1	62690465.47	31020013.91	37673743.7
0	6192246.285	0	10467007.79
80963517.31	84218283.05	48133838.19	52531693.91
5064234.487	8220411.839	3888416.66	5817931.877
8818210.165	25780488.8	10977513.33	19888880.4
41107733.08	42140254.64	27334054.56	31477394.23
0	4107258.362	0	0
15188649.83	17954722.23	6100765.01	8049870.17
0	2694886.806	0	0
10063143.12	15642526.71	0	0
13253819.77	9021983.87	0	0
20524633.61	16975477.95	9255853.489	9253093.02
20406922.36	18308429.2	9722200.757	0
0	0	0	0
4221312.753	3553444.958	0	2029326.409
39713907.08	65056699.55	42438760.53	59279059.11
15785781.1	30136324.56	12493624.91	13167099.43
0	0	0	0
21290926.1	0	0	0
1538743.374	2453596.43	0	2046700.779
5180074.836	5302001.883	0	4278677.257
0	0	0	0
2173214.843	3125066.525	0	0
1698550.047	2823514.963	0	0
34342064.23	38976542.35	0	0
22681633.93	0	0	0
2111708.762	5014123.716	1270767.329	2770314.648
0	0	0	0
0	0	1653156.634	1298610.05
0	0	0	0
0	0	0	0
28560180.85	25747738.16	0	20913013.59
12720611.16	59972980.72	11343404.68	46433480.98
8583567.197	9526343.8	6859979.909	6795478.845
0	0	14108260.57	11022987.63
22625506.7	27481066.03	14961749.48	16673285.47
0	0	0	0
408216401.6	397265321.2	298365659.5	396135634.6
0	0	0	0
10540224.51	8613419.577	8016768.41	0
0	0	0	0
0	1813321.325	0	9785397.892
0	0	0	0
0	0	0	0
14633613.97	15034183.49	5767328.645	6153963.647
25593233.55	38276497.32	11019241.17	0
0	0	0	0
12273932.02	10089654.89	6122015.3	0
0	8442297.458	5188548.026	0
2109837.855	78797232.57	10940035.55	16013441.27
0	62534899.91	11690750.33	26467847.87
46143592.14	56368772.26	26047059.73	28013594.01
10280636.11	11036967.29	5827215.826	6667175.806
83559401.31	0	35492233.99	41022605.77
504747.4275	0	0	162345.349
0	0	0	0
2967804.802	5800057.314	0	0
4575537.886	13453964.87	0	0
0	0	0	0
0	2780447.865	0	1027837.177
3608434.674	0	3151263.426	4293569.574
0	0	0	0
